title,price,rating,category,availability
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,Four,Default,In stock
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One,Business,In stock
Psycho: Sanitarium (Psycho #1.5),£36.97,Five,Horror,In stock
Poisonous (Max Revere Novels #3),£26.80,Three,Mystery,In stock
One with You (Crossfire #5),£15.71,Four,Add a comment,In stock
No Love Allowed (Dodge Cove #1),£54.65,Four,Young Adult,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,Mystery,In stock
Most Wanted,£35.28,Three,Mystery,In stock
"Love, Lies and Spies",£20.55,Two,Historical Fiction,In stock
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,Five,Default,In stock
Hide Away (Eve Duncan #20),£11.84,One,Mystery,In stock
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four,Nonfiction,In stock
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five,Food and Drink,In stock
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,One,Politics,In stock
Eleanor & Park,£56.51,Five,Default,In stock
Dirty (Dive Bar #1),£40.83,Four,Romance,In stock
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One,Horror,In stock
Boar Island (Anna Pigeon #19),£59.48,Three,Mystery,In stock
A Paris Apartment,£39.01,Four,Historical Fiction,In stock
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One,Food and Drink,In stock
Troublemaker: Surviving Hollywood and Scientology,£48.39,Two,Default,In stock
The Widow,£27.26,Two,Mystery,In stock
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four,Nonfiction,In stock
The Improbability of Love,£59.45,One,Fiction,In stock
The Art of Startup Fundraising,£21.00,Three,Business,In stock
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,Romance,In stock
Sleeping Giants (Themis Files #1),£48.74,One,Science Fiction,In stock
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,Two,Biography,In stock
Playing with Fire,£13.71,Three,Mystery,In stock
Off the Hook (Fishing for Trouble #1),£47.67,Three,Romance,In stock
Mothering Sunday,£13.34,Two,Fiction,In stock
"Mother, Can You Not?",£16.89,Five,Nonfiction,In stock
M Train,£27.18,One,Autobiography,In stock
Lilac Girls,£17.28,Two,Historical Fiction,In stock
Lies and Other Acts of Love,£45.14,One,Fiction,In stock
Lab Girl,£40.85,One,Autobiography,In stock
Keep Me Posted,£20.46,Four,Womens Fiction,In stock
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,Three,Psychology,In stock
Grey (Fifty Shades #4),£48.49,Four,Womens Fiction,In stock
"Exit, Pursued by a Bear",£51.34,Four,Young Adult,In stock
Daredevils,£16.34,Three,Fiction,In stock
Cravings: Recipes for What You Want to Eat,£20.50,Three,Food and Drink,In stock
Born for This: How to Find the Work You Were Meant to Do,£21.59,Five,Business,In stock
Arena,£21.36,Four,Science Fiction,In stock
Adultery,£20.88,Five,Default,In stock
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,Three,Nonfiction,In stock
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,Romance,In stock
11/22/63,£48.48,Three,Fiction,In stock
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,Two,Nonfiction,In stock
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,Five,Health,In stock
Without Shame,£48.27,Five,Add a comment,In stock
Watchmen,£58.05,Four,Add a comment,In stock
Unlimited Intuition Now,£58.87,Four,Default,In stock
Underlying Notes,£11.82,Two,Default,In stock
The Shack,£28.03,One,Fiction,In stock
The New Brand You: Your New Image Makes the Sale for You,£44.05,Five,Default,In stock
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,Four,Food and Drink,In stock
The Flowers Lied,£16.68,Two,Default,In stock
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,One,Science,In stock
The Book of Mormon,£24.57,Three,Religion,In stock
The Art and Science of Low Carbohydrate Living,£52.98,Five,Health,In stock
The Alien Club,£54.40,One,Young Adult,In stock
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,Five,Novels,In stock
Nap-a-Roo,£25.08,One,Childrens,In stock
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",£10.41,Four,Default,In stock
Modern Day Fables,£47.44,Two,Default,In stock
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,One,Spirituality,In stock
"Fruits Basket, Vol. 9 (Fruits Basket #9)",£33.95,Four,Sequential Art,In stock
Dress Your Family in Corduroy and Denim,£43.68,Three,Humor,In stock
Don't Forget Steven,£33.23,One,Young Adult,In stock
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,£35.92,Two,Nonfiction,In stock
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,Four,Art,In stock
A Shard of Ice (The Black Symphony Saga #1),£56.63,Three,Fantasy,In stock
A Hero's Curse (The Unseen Chronicles #1),£50.49,Three,Add a comment,In stock
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79,Two,Add a comment,In stock
"Zero to One: Notes on Startups, or How to Build the Future",£34.06,Three,Nonfiction,In stock
Why Not Me?,£17.76,One,Nonfiction,In stock
When Breath Becomes Air,£39.36,Two,Nonfiction,In stock
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,Travel,In stock
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),£43.62,Five,Default,In stock
The New Drawing on the Right Side of the Brain,£43.02,Three,Art,In stock
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",£28.45,Four,Nonfiction,In stock
The Martian (The Martian #1),£41.39,Two,Default,In stock
The High Mountains of Portugal,£51.15,One,Fiction,In stock
The Grownup,£35.88,One,Short Stories,In stock
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,One,Business,In stock
South of Sunshine,£28.93,One,Young Adult,In stock
Smarter Faster Better: The Secrets of Being Productive in Life and Business,£38.89,Five,Nonfiction,In stock
Silence in the Dark (Logan Point #4),£58.33,Three,Suspense,In stock
Shadows of the Past (Logan Point #1),£39.67,Five,Christian Fiction,In stock
Roller Girl,£14.10,Five,Sequential Art,In stock
Rising Strong,£21.82,Three,Nonfiction,In stock
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,One,Philosophy,In stock
Please Kill Me: The Uncensored Oral History of Punk,£31.19,Four,Music,In stock
Out of Print: City Lights Spotlight No. 14,£53.64,Five,Poetry,In stock
My Life Next Door (My Life Next Door ),£36.39,Five,Young Adult,In stock
Miller's Valley,£58.54,Two,Fiction,In stock
Man's Search for Meaning,£29.48,Three,Nonfiction,In stock
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",£25.06,Two,Nonfiction,In stock
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,£12.55,Three,Nonfiction,In stock
Les Fleurs du Mal,£29.04,Five,Poetry,In stock
Left Behind (Left Behind #1),£40.72,Two,Default,In stock
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,Five,Music,In stock
Kierkegaard: A Christian Missionary to Christians,£47.13,One,Philosophy,In stock
John Vassos: Industrial Design for Modern Life,£20.22,Four,Default,In stock
I'll Give You the Sun,£56.48,One,Default,In stock
I Will Find You,£44.21,One,Nonfiction,In stock
Hystopia: A Novel,£21.96,Four,Fiction,In stock
Howl and Other Poems,£40.45,Two,Poetry,In stock
History of Beauty,£10.29,Four,Art,In stock
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,£52.86,Two,Default,In stock
Future Shock (Future Shock #1),£55.65,Five,Young Adult,In stock
Ender's Game (The Ender Quintet #1),£43.64,One,Default,In stock
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,One,Science,In stock
Death by Leisure: A Cautionary Tale,£37.51,Four,Default,In stock
Brilliant Beacons: A History of the American Lighthouse,£11.45,Three,History,In stock
Brazen: The Courage to Find the You That's Been Hiding,£19.22,Two,Nonfiction,In stock
Between the World and Me,£56.91,Four,Nonfiction,In stock
Being Mortal: Medicine and What Matters in the End,£55.06,Four,Nonfiction,In stock
"A Murder Over a Girl: Justice, Gender, Junior High",£13.20,Three,Nonfiction,In stock
32 Yolks,£53.63,Two,Food and Drink,In stock
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,Five,History,In stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,£12.08,Three,Self Help,In stock
Wildlife of New York: A Five-Borough Coloring Book,£22.14,Two,Default,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,Mystery,In stock
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,Two,Spirituality,In stock
Under the Tuscan Sun,£37.33,Three,Travel,In stock
Toddlers Are A**holes: It's Not Your Fault,£25.55,One,Humor,In stock
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,£34.72,One,Default,In stock
The Whale,£35.96,Four,Childrens,In stock
